Emissions Schedule By Month			
Year	Quarter	VB per Block	VB emission per Month
Y1	Q1	40.90	10,600,000
Y1	Q2	39.35	10,200,000
Y1	Q3	37.81	9,800,000
Y1	Q4	36.27	9,400,000
Y2	Q1	34.08	8,833,333
Y2	Q2	32.79	8,500,000
Y2	Q3	31.51	8,166,667
Y2	Q4	30.22	7,833,333
Y3	Q1	27.26	7,066,667
Y3	Q2	26.23	6,800,000
Y3	Q3	25.21	6,533,333
Y3	Q4	24.18	6,266,667
Y4	Q1	20.45	5,300,000
Y4	Q2	19.68	5,100,000
Y4	Q3	18.90	4,900,000
Y4	Q4	18.13	4,700,000
Y5	Q1	13.63	3,533,333
Y5	Q2	13.12	3,400,000
Y5	Q3	12.60	3,266,667
Y5	Q4	12.09	3,133,333
	Total	514.40	400,000,000
